Source	Target
toranaga	dohtur
belcha	dohtur
sapere13aude	dohtur
shadeofgrass	dohtur
lichter	dohtur
lichter	dimalad
socman	dohtur
sem4	dohtur
sem4	kammerer
sem4	lotrin
sem4	mrdaniil
sem4	perestukin
sem4	artiom_shorohov
sem4	rainlegion
sem4	li_hanta
sem4	marish_plohish
sem4	3ergling
sem4	dantichka
sem4	spaceman_dono
malina_miss	dohtur
kakvas	dohtur
timur_gagin	dohtur
jessa_ah	dohtur
_mjawa	dohtur
_mjawa	tverse
infinimutazione	dohtur
ezotera	dohtur
r_l	ptichka
nastik	ptichka
nl	ptichka
nl	oscar_6
nl	bofhland
nl	igor_varnavsky
nl	tina_sky
nl	bernoff
nl	mr_framerate
sapfo	ptichka
gagin	ptichka
damian	ptichka
damian	dimalad
damian	igor_varnavsky
damian	dima_gameland
skuzn	ptichka
ptichman	ptichka
e_g	ptichka
corsika	ptichka
corsika	dimalad
avva	ptichka
avva	bofhland
verner	ptichka
bugabuga	ptichka
stepfather	ptichka
july	ptichka
lammer	ptichka
lammer	dimalad
juliacw	ptichka
bodiker	ptichka
bodiker	kammerer
bodiker	igor_varnavsky
motto	ptichka
motto	kammerer
motto	porco
motto	bofhland
motto	davidov
cartoonka	ptichka
xtracer	ptichka
xtracer	kammerer
vveselov	ptichka
maria_gorbatova	ptichka
anryseagull	ptichka
anryseagull	lotrin
anryseagull	perestukin
anryseagull	sem4
anryseagull	weaselchuck
sergeax	ptichka
sergeax	porco
sergeax	archer5
sergeax	lapshinji
sergeax	bofhland
sergeax	togusa_rus
sergeax	boris_ivanov
msado	ptichka
msado	bofhland
cooke	ptichka
tema	ptichka
tema	archer5
tema	_nitro_
tema	jmurik
tema	timedevourer
tema	alex_777
tema	pats0n
tema	oscar_6
tema	bofhland
tema	davidov
tema	igor_varnavsky
tema	oil_luck_oie
tema	sem4
tema	k_kosen
tema	tina_sky
tema	bernoff
tema	weaselchuck
tema	3ergling
tema	mr_framerate
linxy	ptichka
evil_ninja	ptichka
evil_ninja	kammerer
evil_ninja	porco
evil_ninja	archer5
evil_ninja	perestukin
evil_ninja	tigrafamily
evil_ninja	alex_777
evil_ninja	lapshinji
evil_ninja	bofhland
evil_ninja	davidov
evil_ninja	igor_varnavsky
evil_ninja	oil_luck_oie
evil_ninja	sem4
evil_ninja	flipped_coin
evil_ninja	losthost
evil_ninja	marish_plohish
moshkow	ptichka
moshkow	togusa_rus
shaltai_boltai	ptichka
shaltai_boltai	melamory_me
alisezus	ptichka
bozi	ptichka
bozi	pocket_girl
romochka	ptichka
romochka	lapshinji
romochka	bofhland
romochka	bernoff
sarabruk	ptichka
sarabruk	flipped_coin
mazel	ptichka
megazoid	ptichka
megazoid	reanstrain
megazoid	porco
megazoid	mrprophet
megazoid	kairai_chan
megazoid	timedevourer
megazoid	tigrafamily
megazoid	artiom_shorohov
megazoid	pats0n
megazoid	lapshinji
megazoid	bofhland
megazoid	togusa_rus
megazoid	_paster_
megazoid	pinwizz
megazoid	mamuki
gosha	ptichka
drugoi	ptichka
drugoi	dimalad
drugoi	pocket_girl
drugoi	jmurik
drugoi	tigrafamily
drugoi	pats0n
drugoi	lena_solovyova
drugoi	iteki
drugoi	davidov
drugoi	igor_varnavsky
drugoi	sem4
drugoi	tina_sky
drugoi	bernoff
drugoi	dima_gameland
gt	ptichka
alexeymas	ptichka
zeresha	ptichka
mozgovaya	ptichka
mozgovaya	dimalad
alexmoskalyuk	ptichka
alexmoskalyuk	bofhland
kiryan	ptichka
mager	ptichka
lukshina	ptichka
lyanamiller	ptichka
mikhail_golub	ptichka
mikhail_golub	pocket_girl
zaxar_borisych	ptichka
yustas	ptichka
dulcineja	ptichka
